name,type,neighborhood
Viaducte de Vallcarca,Patrimonio cultural,Vallcarca i els Penitents
Museu d'Historia de Barcelona - Oliva Artes,Arquitectura,Provençals del Poblenou
Can Fontanet - Centre d'Interpretacio dels Tres Tombs de Sant Andreu,Museos,Sant Andreu
Disseny Hub Barcelona,Museos,el Parc i la Llacuna del Poblenou
El Polvori i Cos de Guardia,Patrimonio cultural,la Marina de Port
La Plaça de Catalunya,Espacios urbanos,la Dreta de Eixample
La Rambla,Espacios urbanos,el Barri Gotic
Jardins Plaça de Can Fabra,Parques y jardines,Sant Andreu
Antiga Fabrica Can Batllo,Patrimonio cultural,la Bordeta
Parc Torrent Maduixer,Parques y jardines,Sant Gervasi - la Bonanova
Masia Torre Rodona - Can Vinyals de la Torre,Patrimonio cultural,la Maternitat i Sant Ramon
Parc de les Rieres d'Horta,Parques y jardines,la Clota
Ateneu de Fabricacio Digital de Les Corts,Ateneos,les Corts
Parc de Can Rigal,Parques y jardines,la Maternitat i Sant Ramon
Jardins d'Elvira Farreras Valenti,Parques y jardines,el Putxet i el Farro
Centre Civic Can Verdaguer,Barcelona WiFi,Porta
Universitat Nacional d'Educacio a Distancia *Barcelona,Espacios de estudio e investigacion,Porta
Fundacio Privada Ciutadania Multicultural,Cocina internacional,Sant Pere
Casa Bloc,Patrimonio cultural,Sant Andreu
Cereria Subira,Patrimonio cultural,el Barri Gotic
Edifici Torre Telefonica - Diagonal Zero Zero,Patrimonio cultural,el Besos i el Maresme
Fabrica de Creacio Graner,Ocio y tiempo libre,la Marina de Port
Centre Cultural Teresa Pamies,Ocio y tiempo libre,la Nova Esquerra de l'Eixample
Federacio d'Associacions Comerciants de l'Eix Comercial de Poblenou,Para ir a comprar,el Poblenou
Museu d'Historia de Barcelona - Casa de l'Aigua,Patrimonio cultural,la Trinitat Vella
Casal de Barri Pou de la Figuera,Espacios urbanos,Sant Pere
Universitat Ramon Llull,Universidad Ramon Llull,Sant Gervasi - la Bonanova
Teatre Lliure,Ocio y tiempo libre,la Vila de Gracia
Centre Esportiu Municipal Putxet,Barcelona WiFi,el Putxet i el Farro
Floristeria Flora Miserachs,Espacios naturales,Sarria
